date,car_actual_min,weekdag,schoolvakantie,brugdag
2025-02-19,120.0,woensdag,neen,neen
2025-02-20,120.0,donderdag,neen,neen
2025-02-21,104.8,vrijdag,neen,neen
2025-02-22,75.9,zaterdag,neen,neen
2025-02-23,60.0,zondag,neen,neen
2025-02-24,119.7,maandag,neen,neen
2025-02-25,120.0,dinsdag,neen,neen
2025-02-26,113.0,woensdag,neen,neen
2025-02-27,120.0,donderdag,neen,neen
2025-02-28,120.0,vrijdag,neen,neen
2025-03-01,74.7,zaterdag,neen,neen
2025-03-02,60.0,zondag,neen,neen
2025-03-03,119.5,maandag,ja,neen
2025-03-04,119.7,dinsdag,ja,neen
2025-03-05,116.2,woensdag,ja,neen
2025-03-06,120.0,donderdag,ja,neen
2025-03-07,113.7,vrijdag,ja,neen
2025-03-08,75.6,zaterdag,ja,neen
2025-03-09,60.0,zondag,ja,neen
2025-03-10,120.0,maandag,neen,neen
2025-03-11,120.0,dinsdag,neen,neen
2025-03-12,92.0,woensdag,neen,neen
2025-03-13,120.0,donderdag,neen,neen
2025-03-14,120.0,vrijdag,neen,neen
2025-03-15,76.2,zaterdag,neen,neen
2025-03-16,60.0,zondag,neen,neen
2025-03-17,120.0,maandag,neen,neen
2025-03-18,118.0,dinsdag,neen,neen
2025-03-19,120.0,woensdag,neen,neen
2025-03-20,120.0,donderdag,neen,neen
2025-03-21,120.0,vrijdag,neen,neen
2025-03-22,77.3,zaterdag,neen,neen
2025-03-23,60.0,zondag,neen,neen
2025-03-24,116.7,maandag,neen,neen
2025-03-25,120.0,dinsdag,neen,neen
2025-03-26,120.0,woensdag,neen,neen
2025-03-27,117.4,donderdag,neen,neen
2025-03-28,120.0,vrijdag,neen,neen
2025-03-29,79.4,zaterdag,neen,neen
2025-03-30,60.0,zondag,neen,neen
2025-03-31,117.7,maandag,neen,neen
2025-04-01,118.4,dinsdag,neen,neen
2025-04-02,120.0,woensdag,neen,neen
2025-04-03,120.0,donderdag,neen,neen
2025-04-04,119.0,vrijdag,neen,neen
2025-04-05,81.6,zaterdag,neen,neen
2025-04-06,62.0,zondag,neen,neen
2025-04-07,118.2,maandag,ja,neen
2025-04-08,112.8,dinsdag,ja,neen
2025-04-09,118.4,woensdag,ja,neen
2025-04-10,120.0,donderdag,ja,neen
2025-04-11,113.1,vrijdag,ja,neen
2025-04-12,81.6,zaterdag,ja,neen
2025-04-13,60.0,zondag,ja,neen
2025-04-14,120.0,maandag,ja,neen
2025-04-15,105.0,dinsdag,ja,neen
2025-04-16,119.4,woensdag,ja,neen
2025-04-17,117.0,donderdag,ja,neen
2025-04-18,106.4,vrijdag,ja,neen
2025-04-19,76.0,zaterdag,ja,neen
2025-04-20,60.0,zondag,ja,neen
2025-04-21,60.0,maandag,ja,neen
2025-04-22,120.0,dinsdag,neen,ja
2025-04-23,120.0,woensdag,neen,neen
2025-04-24,118.5,donderdag,neen,neen
2025-04-25,107.0,vrijdag,neen,neen
2025-04-26,81.8,zaterdag,neen,neen
2025-04-27,62.2,zondag,neen,neen
2025-04-28,120.0,maandag,neen,neen
2025-04-29,114.8,dinsdag,neen,neen
2025-04-30,119.5,woensdag,neen,ja
2025-05-01,80.7,donderdag,neen,neen
2025-05-02,94.9,vrijdag,neen,ja
2025-05-03,76.8,zaterdag,neen,neen
2025-05-04,60.8,zondag,neen,neen
2025-05-05,120.0,maandag,neen,neen
2025-05-06,120.0,dinsdag,neen,neen
2025-05-07,120.0,woensdag,neen,neen
2025-05-08,117.8,donderdag,neen,neen
2025-05-09,119.0,vrijdag,neen,neen
2025-05-10,79.7,zaterdag,neen,neen
2025-05-11,60.4,zondag,neen,neen
2025-05-12,95.9,maandag,neen,neen
2025-05-13,108.2,dinsdag,neen,neen
2025-05-14,105.7,woensdag,neen,neen
2025-05-15,118.9,donderdag,neen,neen
2025-05-16,118.7,vrijdag,neen,neen
2025-05-17,79.2,zaterdag,neen,neen
2025-05-18,62.9,zondag,neen,neen
2025-05-19,116.7,maandag,neen,neen
2025-05-20,112.2,dinsdag,neen,neen
2025-05-21,118.6,woensdag,neen,neen
2025-05-22,118.4,donderdag,neen,neen
2025-05-23,118.7,vrijdag,neen,neen
2025-05-24,80.1,zaterdag,neen,neen
2025-05-25,60.8,zondag,neen,neen
2025-05-26,115.3,maandag,neen,neen
2025-05-27,115.8,dinsdag,neen,neen
2025-05-28,116.8,woensdag,neen,ja
2025-05-29,71.6,donderdag,neen,neen
2025-05-30,88.3,vrijdag,neen,ja
2025-05-31,72.7,zaterdag,neen,neen
2025-06-01,60.0,zondag,neen,neen
2025-06-02,116.6,maandag,neen,neen
2025-06-03,117.4,dinsdag,neen,neen
2025-06-04,116.5,woensdag,neen,neen
2025-06-05,117.9,donderdag,neen,neen
2025-06-06,116.4,vrijdag,neen,neen
2025-06-07,72.6,zaterdag,neen,neen
2025-06-08,60.0,zondag,neen,neen
2025-06-09,60.0,maandag,neen,neen
2025-06-10,118.7,dinsdag,neen,ja
2025-06-11,119.1,woensdag,neen,neen
2025-06-12,118.2,donderdag,neen,neen
2025-06-13,108.9,vrijdag,neen,neen
2025-06-14,79.0,zaterdag,neen,neen
2025-06-15,60.0,zondag,neen,neen
2025-06-16,115.4,maandag,neen,neen
2025-06-17,116.8,dinsdag,neen,neen
2025-06-18,118.6,woensdag,neen,neen
2025-06-19,115.8,donderdag,neen,neen
2025-06-20,119.1,vrijdag,neen,neen
2025-06-21,79.3,zaterdag,neen,neen
2025-06-22,61.0,zondag,neen,neen
2025-06-23,114.4,maandag,neen,neen
2025-06-24,107.6,dinsdag,neen,neen
2025-06-25,119.8,woensdag,neen,neen
2025-06-26,60.0,donderdag,neen,neen
2025-06-27,115.1,vrijdag,neen,neen
2025-06-28,79.0,zaterdag,neen,neen
2025-06-29,60.0,zondag,neen,neen
2025-06-30,92.5,maandag,neen,neen
2025-07-01,101.8,dinsdag,ja,neen
2025-07-02,101.7,woensdag,ja,neen
2025-07-03,105.9,donderdag,ja,neen
2025-07-04,93.2,vrijdag,ja,neen
2025-07-05,72.9,zaterdag,ja,neen
2025-07-06,60.0,zondag,ja,neen
2025-07-07,91.5,maandag,ja,neen
2025-07-08,102.7,dinsdag,ja,neen
2025-07-09,105.0,woensdag,ja,neen
2025-07-10,83.3,donderdag,ja,neen
2025-07-11,82.5,vrijdag,ja,neen
2025-07-12,71.8,zaterdag,ja,neen
2025-07-13,60.0,zondag,ja,neen
2025-07-14,110.6,maandag,ja,neen
2025-07-15,115.9,dinsdag,ja,neen
2025-07-16,115.8,woensdag,ja,neen
2025-07-17,118.3,donderdag,ja,neen
2025-07-18,99.8,vrijdag,ja,neen
2025-07-19,77.9,zaterdag,ja,neen
2025-07-20,60.7,zondag,ja,neen
2025-07-21,64.5,maandag,ja,neen
2025-07-22,110.0,dinsdag,ja,ja
2025-07-23,107.3,woensdag,ja,neen
2025-07-24,109.2,donderdag,ja,neen
2025-07-25,94.9,vrijdag,ja,neen
2025-07-26,74.7,zaterdag,ja,neen
2025-07-27,60.0,zondag,ja,neen
2025-07-28,108.1,maandag,ja,neen
2025-07-29,111.5,dinsdag,ja,neen
2025-07-30,108.6,woensdag,ja,neen
2025-07-31,112.4,donderdag,ja,neen
2025-08-01,100.4,vrijdag,ja,neen
2025-08-02,73.2,zaterdag,ja,neen
2025-08-03,61.4,zondag,ja,neen
2025-08-04,108.5,maandag,ja,neen
2025-08-05,111.7,dinsdag,ja,neen
2025-08-06,118.2,woensdag,ja,neen
2025-08-07,120.0,donderdag,ja,neen
2025-08-08,106.1,vrijdag,ja,neen
2025-08-09,74.9,zaterdag,ja,neen
2025-08-10,61.5,zondag,ja,neen
2025-08-11,118.5,maandag,ja,neen
2025-08-12,112.9,dinsdag,ja,neen
2025-08-13,118.2,woensdag,ja,neen
2025-08-14,109.0,donderdag,ja,ja
2025-08-15,75.8,vrijdag,ja,neen
2025-08-16,69.7,zaterdag,ja,neen
2025-08-17,60.8,zondag,ja,neen
2025-08-18,113.1,maandag,ja,neen
2025-08-19,113.0,dinsdag,ja,neen
2025-08-20,115.0,woensdag,ja,neen
2025-08-21,107.6,donderdag,ja,neen
2025-08-22,107.0,vrijdag,ja,neen
2025-08-23,72.7,zaterdag,ja,neen
2025-08-24,60.7,zondag,ja,neen
2025-08-25,116.2,maandag,ja,neen
2025-08-26,109.8,dinsdag,ja,neen
2025-08-27,114.4,woensdag,ja,neen
2025-08-28,117.1,donderdag,ja,neen
2025-08-29,111.6,vrijdag,ja,neen
2025-08-30,75.6,zaterdag,ja,neen
2025-08-31,60.0,zondag,ja,neen
2025-09-01,116.0,maandag,neen,neen
2025-09-02,118.8,dinsdag,neen,neen
2025-09-03,108.2,woensdag,neen,neen
2025-09-04,102.7,donderdag,neen,neen
2025-09-05,117.2,vrijdag,neen,neen
2025-09-06,76.1,zaterdag,neen,neen
2025-09-07,61.3,zondag,neen,neen
2025-09-08,117.2,maandag,neen,neen
2025-09-09,97.6,dinsdag,neen,neen
2025-09-10,113.2,woensdag,neen,neen
2025-09-11,113.7,donderdag,neen,neen
2025-09-12,114.6,vrijdag,neen,neen
2025-09-13,75.3,zaterdag,neen,neen
2025-09-14,63.6,zondag,neen,neen
2025-09-15,93.7,maandag,neen,neen
2025-09-16,113.9,dinsdag,neen,neen
2025-09-17,114.9,woensdag,neen,neen
2025-09-18,107.0,donderdag,neen,neen
2025-09-19,109.1,vrijdag,neen,neen
2025-09-20,79.0,zaterdag,neen,neen
2025-09-21,61.0,zondag,neen,neen
2025-09-22,115.3,maandag,neen,neen
2025-09-23,116.5,dinsdag,neen,neen
2025-09-24,116.4,woensdag,neen,neen
2025-09-25,115.2,donderdag,neen,neen
2025-09-26,117.8,vrijdag,neen,neen
2025-09-27,76.3,zaterdag,neen,neen
2025-09-28,64.4,zondag,neen,neen
2025-09-29,115.3,maandag,neen,neen
2025-09-30,104.0,dinsdag,neen,neen
2025-10-01,104.2,woensdag,neen,neen
2025-10-02,117.7,donderdag,neen,neen
2025-10-03,117.2,vrijdag,neen,neen
2025-10-04,72.0,zaterdag,neen,neen
2025-10-05,61.2,zondag,neen,neen
2025-10-06,115.0,maandag,neen,neen
2025-10-07,97.7,dinsdag,neen,neen
2025-10-08,111.6,woensdag,neen,neen
2025-10-09,116.3,donderdag,neen,neen
2025-10-10,119.1,vrijdag,neen,neen
2025-10-11,79.0,zaterdag,neen,neen
2025-10-12,60.2,zondag,neen,neen
2025-10-13,114.0,maandag,neen,neen
2025-10-14,115.7,dinsdag,neen,neen
2025-10-15,104.4,woensdag,neen,neen
2025-10-16,114.9,donderdag,neen,neen
2025-10-17,117.2,vrijdag,neen,neen
2025-10-18,79.5,zaterdag,neen,neen
2025-10-19,64.3,zondag,neen,neen
2025-10-20,113.8,maandag,neen,neen
2025-10-21,112.3,dinsdag,neen,neen
2025-10-22,114.7,woensdag,neen,neen
2025-10-23,115.7,donderdag,neen,neen
2025-10-24,99.9,vrijdag,neen,neen
2025-10-25,76.7,zaterdag,neen,neen
2025-10-26,61.6,zondag,neen,neen
2025-10-27,115.8,maandag,ja,neen
2025-10-28,113.9,dinsdag,ja,neen
2025-10-29,117.3,woensdag,ja,neen
2025-10-30,117.2,donderdag,ja,neen
2025-10-31,109.1,vrijdag,ja,ja
2025-11-01,69.3,zaterdag,ja,neen
2025-11-02,60.0,zondag,ja,neen
2025-11-03,117.0,maandag,neen,neen
2025-11-04,112.4,dinsdag,neen,neen
2025-11-05,118.4,woensdag,neen,neen
2025-11-06,115.3,donderdag,neen,neen
2025-11-07,117.9,vrijdag,neen,neen
2025-11-08,80.7,zaterdag,neen,neen
2025-11-09,60.0,zondag,neen,neen
2025-11-10,89.5,maandag,neen,ja
2025-11-11,64.3,dinsdag,neen,neen
2025-11-12,107.6,woensdag,neen,ja
2025-11-13,115.0,donderdag,neen,neen
2025-11-14,117.5,vrijdag,neen,neen
2025-11-15,76.4,zaterdag,neen,neen
2025-11-16,60.0,zondag,neen,neen
2025-11-17,114.4,maandag,neen,neen
2025-11-18,106.0,dinsdag,neen,neen
2025-11-19,105.2,woensdag,neen,neen
2025-11-20,114.3,donderdag,neen,neen
2025-11-21,115.2,vrijdag,neen,neen
2025-11-22,76.2,zaterdag,neen,neen
2025-11-23,60.0,zondag,neen,neen
2025-11-24,112.0,maandag,neen,neen
2025-11-25,110.5,dinsdag,neen,neen
2025-11-26,113.6,woensdag,neen,neen
2025-11-27,116.5,donderdag,neen,neen
2025-11-28,117.8,vrijdag,neen,neen
2025-11-29,78.9,zaterdag,neen,neen
2025-11-30,62.7,zondag,neen,neen
2025-12-01,112.8,maandag,neen,neen
2025-12-02,112.8,dinsdag,neen,neen
2025-12-03,115.9,woensdag,neen,neen
2025-12-04,113.9,donderdag,neen,neen
2025-12-05,115.1,vrijdag,neen,neen
2025-12-06,72.9,zaterdag,neen,neen
2025-12-07,60.0,zondag,neen,neen
2025-12-08,112.6,maandag,neen,neen
2025-12-09,109.1,dinsdag,neen,neen
2025-12-10,116.8,woensdag,neen,neen
2025-12-11,118.1,donderdag,neen,neen
2025-12-12,117.3,vrijdag,neen,neen
2025-12-13,75.7,zaterdag,neen,neen
2025-12-14,60.0,zondag,neen,neen
2025-12-15,114.8,maandag,neen,neen
2025-12-16,115.8,dinsdag,neen,neen
2025-12-17,116.4,woensdag,neen,neen
2025-12-18,120.0,donderdag,neen,neen
2025-12-19,115.2,vrijdag,neen,neen
2025-12-20,79.5,zaterdag,neen,neen
2025-12-21,60.0,zondag,neen,neen
2025-12-22,107.1,maandag,ja,neen
2025-12-23,101.7,dinsdag,ja,neen
2025-12-24,80.1,woensdag,ja,ja
2025-12-25,60.0,donderdag,ja,neen
2025-12-26,67.9,vrijdag,ja,ja
2025-12-27,60.0,zaterdag,ja,neen
2025-12-28,60.0,zondag,ja,neen
2025-12-29,84.5,maandag,ja,neen
2025-12-30,83.8,dinsdag,ja,neen
2025-12-31,71.8,woensdag,ja,neen
